217035,217009,"Son Of The Mask",2005,"Larry Guterman","Jamie","Kennedy"
634003,217010,"Kingdom Of Heaven",2005,"Ridley Scott","Orlando","Bloom"
217033,217011,"Bride And Prejudice",2004,"Gurinder Chadha","Martin","Henderson"
217032,217012,"Miss Congeniality 2: ARMED AND FABULOUS",2005,"John Pasquin","Sandra","Bullock"
217031,217013,"Swimming Upstream",2003,"Russell Mulcahy","Geoffrey","Rush"
412031,217015,"Unleashed",2005,"Louis Leterrier","Morgan","Freeman"
755005,217015,"Unleashed",2005,"Louis Leterrier","Jet","Li"
217028,217016,"Spiderman 2",2005,"Sam Raimi","Kirsten","Dunst"
788009,217016,"Spiderman 2",2005,"Sam Raimi","Tobey","Maguire"
693116,217017,"Hitch",2005,"Andy Tennant","Will","Smith"
217025,217018,"Million Dollar Baby",2005,"Clint Eastwood","Clint","Eastwood"
907007,217019,"The Machinist",2005,"Brad Anderson","Christian","Bale"
217022,217020,"Alexander",2004,"Oliver Stone","Colin","Ferrell"
788007,217020,"Alexander",2004,"Oliver Stone","Angelina","Jolie"
658011,259001,"About A Boy",2002,"Chris Weitz","Hugh","Grant"
755005,259003,"Hero",2002,"Yimou Zhang","Jet","Li"
422405,259004,"Lost In Translation",2003,"Sofia Coppola","Scarlett","Johansson"
490009,259005,"Wonder Boys",2000,"Curtis Hanson","Michael","Douglas"
693113,259006,"Before Sunrise",1995,"Richard Linklater","Ethan","Hawke"
658016,259008,"Requiem For a Dream",2000,"Darren Aronofsky","Jennifer","Connelly"
764006,326002,"Godsend",2004,"Nick Hamm","Robert","De Niro"
326103,326004,"Along Came Polly",2004,"John Hamburg","Jennifer","Aniston"
872003,326004,"Along Came Polly",2004,"John Hamburg","Ben","Stiller"
326103,326005,"Bruce Almighty",2003,"Tom Shadyac","Jennifer","Aniston"
671105,326005,"Bruce Almighty",2003,"Tom Shadyac","Jim","Carrey"
326105,326006,"Lemony Snicket's A Series of Unfortunate Events",2004,"Brad Silberling","Meryl","Streep"
422406,326006,"Lemony Snicket's A Series of Unfortunate Events",2004,"Brad Silberling","Jude","Law"
671105,326006,"Lemony Snicket's A Series of Unfortunate Events",2004,"Brad Silberling","Jim","Carrey"
872008,326008,"Birth",2004,"Jonathan Glazer","Nicole","Kidman"
855106,412002,"Snatch.",2000,"Guy Ritchie","Brad","Pitt"
412017,412004,"X2",2003,"Bryan Singer","Hugh","Jackman"
412018,412004,"X2",2003,"Bryan Singer","Rebecca","Romijn-Stamos"
412019,412004,"X2",2003,"Bryan Singer","Halle","Berry"
412020,412004,"X2",2003,"Bryan Singer","Kelly","Hu"
48010,412008,"White Noise",2005,"Geoffrey Sax","Michael","Keaton"
422402,422102,"Eternal Sunshine of the Spotless Mind",2004,"Michel Gondry","Mark","Ruffalo"
755012,422103,"Le Fabuleux destin dAm?ie Poulain",2001,"Jean-Pierre Jeunet","Audrey","Tautou"
422405,422104,"Ghost World",2004,"Terry Zwigoff","Scarlett","Johansson"
422405,422105,"Girl with a Pearl Earring",2003,"Peter Webber","Scarlett","Johansson"
422410,422105,"Girl with a Pearl Earring",2003,"Peter Webber","Colin","Firth"
422406,422106,"I Heart Huckabees",2004,"David O. Russell","Jude","Law"
422404,422108,"Donnie Darko",2001,"Richard Kelly","Jake","Gyllenhaal"
422409,422109,"The Princess Bride",1987,"Rob Reiner","Billy","Crystal"
855100,422110,"Vampire Effect",2003,"Dante Lam","Jackie","Chan"
855102,490003,"Hostage",2005,"Florent Emilio Siri","Bruce","Willis"
326111,490006,"Cold Mountain",2003,"Anthony Minghella","Renee","Zellweger"
422406,490006,"Cold Mountain",2003,"Anthony Minghella","Jude","Law"
872008,490006,"Cold Mountain",2003,"Anthony Minghella","Nicole","Kidman"
490012,490008,"The Sound of Music",1965,"Robert Wise","Julie","Andrews"
755010,490010,"Walk in the Clouds",1995,"Alfonso Arau","Keanu","Reeves"
140020,490011,"Traffic",2000,"Steven Soderbergh","Benicio","Del Toro"
490009,490011,"Traffic",2000,"Steven Soderbergh","Michael","Douglas"
693109,490011,"Traffic",2000,"Steven Soderbergh","Catherine","Zeta-Jones"
855104,490012,"Pretty Woman",1990,"Gary Marshall","Richard","Gere"
855105,490012,"Pretty Woman",1990,"Gary Marshall","Julia","Roberts"
855105,490015,"Notting Hill",1999,"Roger Michell","Julia","Roberts"
